evalid,student1,student2,category,value
1,1,1,'C',3
1,1,1,'I',3
1,1,1,'K',3
1,1,1,'E',3
1,1,1,'H',3
1,1,2,'C',4
1,1,2,'I',4
1,1,2,'K',4
1,1,2,'E',4
1,1,2,'H',4
1,1,3,'C',5
1,1,3,'I',5
1,1,3,'K',5
1,1,3,'E',5
1,1,3,'H',5
1,2,1,'C',2
1,2,1,'I',3
1,2,1,'K',2
1,2,1,'E',3
1,2,1,'H',2
1,2,2,'C',4
1,2,2,'I',4
1,2,2,'K',4
1,2,2,'E',4
1,2,2,'H',4
1,2,3,'C',4
1,2,3,'I',4
1,2,3,'K',4
1,2,3,'E',4
1,2,3,'H',4
1,3,1,'C',3
1,3,1,'I',3
1,3,1,'K',3
1,3,1,'E',3
1,3,1,'H',4
1,3,2,'C',4
1,3,2,'I',4
1,3,2,'K',5
1,3,2,'E',4
1,3,2,'H',4
1,3,3,'C',5
1,3,3,'I',5
1,3,3,'K',5
1,3,3,'E',5
1,3,3,'H',5
1,4,4,'C',3
1,4,4,'I',4
1,4,4,'K',3
1,4,4,'E',4
1,4,4,'H',4
1,4,5,'C',2
1,4,5,'I',3
1,4,5,'K',2
1,4,5,'E',3
1,4,5,'H',3
1,4,6,'C',2
1,4,6,'I',2
1,4,6,'K',2
1,4,6,'E',3
1,4,6,'H',3
1,5,4,'C',3
1,5,4,'I',4
1,5,4,'K',3
1,5,4,'E',4
1,5,4,'H',4
1,5,5,'C',3
1,5,5,'I',4
1,5,5,'K',4
1,5,5,'E',3
1,5,5,'H',3
1,5,6,'C',2
1,5,6,'I',3
1,5,6,'K',3
1,5,6,'E',3
1,5,6,'H',2
1,6,4,'C',5
1,6,4,'I',2
1,6,4,'K',3
1,6,4,'E',3
1,6,4,'H',5
1,6,5,'C',5
1,6,5,'I',4
1,6,5,'K',5
1,6,5,'E',3
1,6,5,'H',5
1,6,6,'C',4
1,6,6,'I',3 
1,6,6,'K',3
1,6,6,'E',3
1,6,6,'H',5
1,7,7,'C',3
1,7,7,'I',3
1,7,7,'K',5
1,7,7,'E',3
1,7,7,'H',3
1,7,8,'C',4
1,7,8,'I',5
1,7,8,'K',5
1,7,8,'E',5
1,7,8,'H',5
1,7,9,'C',2
1,7,9,'I',4
1,7,9,'K',2
1,7,9,'E',2
1,7,9,'H',2
1,8,7,'C',5
1,8,7,'I',3
1,8,7,'K',3
1,8,7,'E',3
1,8,7,'H',3
1,8,8,'C',5
1,8,8,'I',5
1,8,8,'K',5
1,8,8,'E',5
1,8,8,'H',5
1,8,9,'C',2
1,8,9,'I',4
1,8,9,'K',2
1,8,9,'E',2
1,8,9,'H',2
1,9,7,'C',4
1,9,7,'I',4
1,9,7,'K',4
1,9,7,'E',4
1,9,7,'H',4
1,9,8,'C',5
1,9,8,'I',5
1,9,8,'K',5
1,9,8,'E',5
1,9,8,'H',5
1,9,9,'C',5
1,9,9,'I',5
1,9,9,'K',5
1,9,9,'E',4
1,9,9,'H',4
1,10,10,'C',4
1,10,10,'I',5
1,10,10,'K',5
1,10,10,'E',4
1,10,10,'H',5
1,10,11,'C',3
1,10,11,'I',4
1,10,11,'K',4
1,10,11,'E',4
1,10,11,'H',4
1,10,12,'C',4
1,10,12,'I',3
1,10,12,'K',3
1,10,12,'E',5
1,10,12,'H',5
1,11,10,'C',5
1,11,10,'I',5
1,11,10,'K',5
1,11,10,'E',4
1,11,10,'H',5
1,11,11,'C',5
1,11,11,'I',3
1,11,11,'K',4
1,11,11,'E',4
1,11,11,'H',5
1,11,12,'C',5
1,11,12,'I',3
1,11,12,'K',5
1,11,12,'E',5
1,11,12,'H',5
1,12,10,'C',4
1,12,10,'I',5
1,12,10,'K',4
1,12,10,'E',4
1,12,10,'H',5
1,12,11,'C',2
1,12,11,'I',3
1,12,11,'K',3
1,12,11,'E',4
1,12,11,'H',3
1,12,12,'C',4
1,12,12,'I',3
1,12,12,'K',3
1,12,12,'E',3
1,12,12,'H',5
1,13,13,'C',4
1,13,13,'I',4
1,13,13,'K',4
1,13,13,'E',4
1,13,13,'H',5
1,13,14,'C',4
1,13,14,'I',3
1,13,14,'K',3
1,13,14,'E',5
1,13,14,'H',5
1,13,15,'C',4
1,13,15,'I',5
1,13,15,'K',4
1,13,15,'E',4
1,13,15,'H',4
1,14,13,'C',4
1,14,13,'I',4
1,14,13,'K',4
1,14,13,'E',4
1,14,13,'H',5
1,14,14,'C',5
1,14,14,'I',3
1,14,14,'K',5
1,14,14,'E',5
1,14,14,'H',5
1,14,15,'C',5
1,14,15,'I',5
1,14,15,'K',4
1,14,15,'E',4
1,14,15,'H',5
1,15,13,'C',4
1,15,13,'I',4
1,15,13,'K',4
1,15,13,'E',4
1,15,13,'H',5
1,15,14,'C',4
1,15,14,'I',3
1,15,14,'K',5
1,15,14,'E',5
1,15,14,'H',5
1,15,15,'C',4
1,15,15,'I',5
1,15,15,'K',4
1,15,15,'E',4
1,15,15,'H',4
1,16,16,'C',5
1,16,16,'I',5
1,16,16,'K',5
1,16,16,'E',5
1,16,16,'H',5
1,16,17,'C',5
1,16,17,'I',5
1,16,17,'K',5
1,16,17,'E',5
1,16,17,'H',5
1,17,16,'C',5
1,17,16,'I',5
1,17,16,'K',5
1,17,16,'E',5
1,17,16,'H',5
1,17,17,'C',4
1,17,17,'I',4
1,17,17,'K',4
1,17,17,'E',5
1,17,17,'H',4
1,18,18,'C',4
1,18,18,'I',5 
1,18,18,'K',4
1,18,18,'E',4
1,18,18,'H',4
1,18,19,'C',4
1,18,19,'I',4
1,18,19,'K',4
1,18,19,'E',4
1,18,19,'H',3
1,19,18,'C',4
1,19,18,'I',5
1,19,18,'K',4
1,19,18,'E',4
1,19,18,'H',3
1,19,18,'C',3
1,19,18,'I',3
1,19,18,'K',3
1,19,18,'E',4
1,19,18,'H',3
